video_id,video_title,video_description,channel_id,channel_title,published_at,discovery_theme,query_keyword,search_language,video_url,view_count,like_count,comment_count,privacy_status,made_for_kids,embeddable,license,video_category_id,default_language,default_audio_language,duration,caption_available,definition,date_within_scope,duration_seconds,is_short_video,has_enough_comments,malaysia_matching_terms,malaysia_keyword_match,trusted_channel_matching_terms,trusted_channel_match,irrelevant_matching_terms,irrelevant_term_match,automatic_candidate,candidate_score,manual_relevance,manual_selected_theme,selection_status,rejection_reason,review_notes,collected_at,automated_selected_theme,automated_theme_score,automated_theme_matches,public_opinion_matches,news_matches,tutorial_match,promotional_match,entertainment_match,foreign_focus_match,sensational_match,automated_quality_score,automatic_eligible,final_review_reason,final_review_notes
3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Disclaimer Video kali ini Faktaw buat hanya untuk berkongsi pengalaman sendiri dan pengguna media sosial yang disampaikan ...,UCsiROcUDEVuinxx_JZ9RvSg,Faktaw Channel,2025-03-22T08:00:02Z,festivals_national_events,"""bazaar Ramadan"" Malaysia review",ms,https://www.youtube.com/watch?v=3Pk956RGn7o,1228935,10174,1071,public,False,True,youtube,24,ms,ms,PT14M30S,True,hd,True,870,False,True,bazar ramadan,True,,False,,False,True,9,yes,festivals_national_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,festivals_national_events,8,bazar | bazar ramadan | ramadan,pengguna,,False,False,False,False,False,17,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
bjYbNs8TvLc,[PENUH] Perkembangan Terkini Proses Cerapan Anak Bulan Syawal | 19 Mac 2026,Strim langsung perkembangan terkini proses cerapan anak bulan Syawal di Pusat Konvensyen Antarabangsa Putrajaya bersama ...,UC2p8wkJVSjsMsRv0MjTikgA,Buletin TV3,2026-03-19T10:26:41Z,festivals_national_events,"""Aidilfitri"" Malaysia news",en | ms,https://www.youtube.com/watch?v=bjYbNs8TvLc,69930,480,92,public,False,True,youtube,25,ms,en-US,PT6M24S,False,hd,True,384,False,True,buletin tv3 | putrajaya,True,buletin tv3,True,,False,True,10,yes,festivals_national_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,festivals_national_events,2,,,terkini,False,False,False,False,False,16,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
Yu37CmWLvK0,SATU MALAYSIA KENA SCAM MAKANAN DI BAZAR RAMADAN‼️ LELAKI SOUND PENIAGA BAZAAR,SATU MALAYSIA KENA SCAM MAKANAN DI BAZAR RAMADAN ‼️ LELAKI TAMPIL SOUND PENIAGA2 BAZAR tonton Di sini ...,UCjcPXU13tcVbnWbQXdpgfyg,NuR MuHD,2026-02-22T17:36:49Z,festivals_national_events,"""bazaar Ramadan"" Malaysia review",en | ms,https://www.youtube.com/watch?v=Yu37CmWLvK0,111417,1617,1203,public,False,True,youtube,24,en-US,ms,PT15M25S,False,hd,True,925,False,True,bazar ramadan | malaysia,True,,False,,False,True,9,yes,festivals_national_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,festivals_national_events,8,bazar | bazar ramadan | ramadan,,,False,False,False,False,False,15,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
qlQj6Zlgc-M,MyDigital ID akan diwajibkan untuk akses aplikasi MyJPJ & MyBayar PDRM!,Baca lebih lanjut di sini: https://bm.soyacincau.com/2025/08/19/mydigital-id-bakal-diwajibkan-untuk-akses-myjpj-mybayar-pdrm/ ...,UCfqdkC4DkqqQCLaRFkZ6SgA,SoyaCincau BM,2025-08-27T12:39:08Z,technology_digital_services,"""MyDigital ID"" Malaysia",en | ms,https://www.youtube.com/watch?v=qlQj6Zlgc-M,53933,660,106,public,False,True,youtube,28,ms,en,PT2M16S,False,hd,True,136,False,True,digi | mydigital id,True,,False,,False,True,7,yes,technology_digital_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,technology_digital_services,8,digi | digital id | mydigital id,,,False,False,False,False,False,13,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
L-iPwc5b3oI,Malaysia rolls out the welcome mat for first tourists of 2026,Malaysia ushered in 2026 by warmly welcoming its first international arrivals at Kuala Lumpur International Airport (KLIA) Terminal ...,UCpWvshQVx1d7BqCsPnVuNIw,The Star,2026-01-01T05:54:35Z,tourism_lifestyle_events,"""Visit Malaysia"" public reaction",en,https://www.youtube.com/watch?v=L-iPwc5b3oI,50828,329,78,public,False,True,youtube,25,en,en,PT2M52S,False,hd,True,172,False,True,kuala lumpur | malaysia,True,the star,True,,False,True,9,yes,tourism_lifestyle_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,tourism_lifestyle_events,6,tourist | tourists,tourists,,False,False,False,False,False,20,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
Wk-HcKtIaGY,Are We About to See a Chinese Tourist Boom in Malaysia?,"47 million tourists. That's the bold target Malaysia has set for Visit Malaysia 2026, the economic stakes behind it are far bigger ...",UC-h5sZ-O_4KbdzPy6hxYd9g,Ziet Invests,2026-02-12T11:00:42Z,tourism_lifestyle_events,"""tourism Malaysia"" public opinion",en | ms,https://www.youtube.com/watch?v=Wk-HcKtIaGY,44166,731,112,public,False,True,youtube,26,en,en,PT13M15S,False,hd,True,795,False,True,malaysia | visit malaysia,True,,False,,False,True,8,yes,tourism_lifestyle_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,tourism_lifestyle_events,8,tourist | tourists | visit malaysia,tourists,,False,False,False,False,False,16,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
MpBToZaCuWE,LRT derailment: Commuters want track and train maintenance to be enhanced,"As repair works are still being carried out to restore the train service due to a morning derailment, many commuters are affected by ...",UCpWvshQVx1d7BqCsPnVuNIw,The Star,2026-05-28T08:54:43Z,transport_public_services,"""Rapid KL"" Malaysia | ""train delay"" Rapid KL",en | ms,https://www.youtube.com/watch?v=MpBToZaCuWE,67790,410,151,public,False,True,youtube,25,en,en,PT2M31S,False,hd,True,151,False,True,lrt,True,the star,True,,False,True,10,yes,transport_public_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,transport_public_services,10,commuter | derailment | lrt | maintenance,commuters,maintenance,False,False,False,False,False,23,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
hXMCJ90cK7M,Car vs Public Transport in Malaysia. Who Wins?,"In today's fun episode, Frankie and I take on a challenge: he drives, I take the LRT/MRT — and we race from PJ to KL and then to ...",UCCQnEX-1RsDXQ7kp3Byjrig,Mr Money TV,2025-05-23T12:42:56Z,transport_public_services,"""public transport"" Kuala Lumpur",en | ms,https://www.youtube.com/watch?v=hXMCJ90cK7M,54763,473,123,public,False,True,youtube,24,en,en,PT17M36S,False,hd,True,1056,False,True,lrt | malaysia | mrt,True,,False,,False,True,8,yes,transport_public_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,transport_public_services,8,lrt | mrt | public transport,,public transport,False,False,False,False,False,15,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
ePfJmLXfPwU,JPJ perkenal wajah baharu lesen memandu,Jabatan Pengangkutan Jalan (JPJ) Malaysia memperkenalkan rekaan ilustrasi terbaharu Lesen Memandu Malaysia (LMM) yang ...,UC22UFqscznRcYicQUpmLTeg,Harian Metro,2025-05-21T11:30:02Z,transport_public_services,"""JPJ Malaysia"" public reaction",en,https://www.youtube.com/watch?v=ePfJmLXfPwU,32392,88,62,public,False,True,youtube,25,ms,ms,PT1M3S,False,hd,True,63,False,True,harian metro | malaysia,True,harian metro,True,,False,True,9,yes,transport_public_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,transport_public_services,4,jpj,,,False,False,False,False,False,15,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
ze_IuVwkuFc,KTMB's 'ghost train' transforms commute for students from the interior,"Shrouded in pre-dawn dark and mist, the morning Keretapi Tanah Melayu Bhd service at Kuala Gris railway station, known locally ...",UCpWvshQVx1d7BqCsPnVuNIw,The Star,2026-01-11T13:05:33Z,transport_public_services,"""KTM Berhad"" Malaysia",en | ms,https://www.youtube.com/watch?v=ze_IuVwkuFc,19054,226,35,public,False,True,youtube,25,en,en,PT1M6S,False,hd,True,66,False,True,ktm,True,the star,True,,False,True,9,yes,transport_public_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,transport_public_services,4,ktm,,,False,False,False,False,False,14,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
J5SEcQAe1AM,Why Malaysia Forces You to Own a Car,"Malaysia's traffic congestion and car dependency didn't happen by accident. Through decades of urban planning, transport policy, ...",UCpuAxp66fNIEBvyBMEjRFGQ,UrbanShiftMY,2026-05-11T05:16:17Z,transport_public_services,"""KL traffic"" Malaysia",en | ms,https://www.youtube.com/watch?v=J5SEcQAe1AM,38006,1274,471,public,False,True,youtube,27,en,en,PT11M5S,False,hd,True,665,False,True,malaysia,True,,False,,False,True,8,yes,transport_public_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,transport_public_services,4,traffic,,policy,False,False,False,False,False,13,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
oULUeT07fa0,JPJ MALAYSIA? ADA APA APA JAWAPAN KE? SITA KENDERAAN ORANG SAMPAI BERBULAN BULAN? TERIMA KASIH SINGH,,UCOfzCQPA-aD55SQmMY62HgA,Bossrul Channel,2025-07-01T02:14:17Z,transport_public_services,"""JPJ Malaysia"" public reaction",en,https://www.youtube.com/watch?v=oULUeT07fa0,26691,551,144,public,False,True,youtube,2,ms,,PT4M15S,False,sd,True,255,False,True,jpj malaysia | malaysia,True,,False,,False,True,8,yes,transport_public_services,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,transport_public_services,4,jpj,,,False,False,False,False,False,12,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
